first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,full_name
Joel,Coleman,0,0,2,90,1,0.0,14.8,0.0,0,13,1.5,0,0,0,0.0,40,Joel Coleman
Demeaco,Duhaney,0,0,1,45,0,1.6,3.8,0.0,0,1,0.5,0,0,0,0.0,40,Demeaco Duhaney
Matthew,Daly,0,0,2,73,1,1.0,0.6,2.0,0,5,0.4,0,0,0,0.0,45,Matthew Daly
Aaron,Rowe,0,0,2,68,1,1.2,0.0,0.0,0,-2,0.0,0,0,0,0.0,45,Aaron Rowe
Kasper,Schmeichel,0,0,120,3420,48,10.0,756.8,4.0,6,618,76.9,10,0,3,4.7,50,Kasper Schmeichel
Eldin,Jakupovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,Eldin Jakupovic
Wes,Morgan,3,0,76,1924,28,40.1,471.0,293.0,7,365,80.5,6,2,1,1.6,45,Wes Morgan
Christian,Fuchs,0,0,3,206,5,85.6,50.4,14.0,0,38,14.9,0,0,0,0.4,41,Christian Fuchs
Danny,Simpson,0,0,12,289,4,13.2,74.6,2.0,0,50,9.0,1,0,0,0.2,42,Danny Simpson
Yohan,Benalouane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,39,Yohan Benalouane
Benjamin,Chilwell,0,5,118,3240,43,674.6,721.0,298.0,8,578,170.0,10,0,4,2.8,50,Benjamin Chilwell
Harry,Maguire,3,1,92,2596,41,165.3,715.8,462.0,10,533,134.3,6,1,6,8.3,54,Harry Maguire
Ricardo,Pereira,2,8,146,3123,45,517.6,889.0,430.0,22,693,183.7,10,0,7,10.6,53,Ricardo Pereira
Jonny,Evans,1,0,77,1993,26,66.1,460.0,158.0,3,418,68.5,8,0,2,0.4,48,Jonny Evans
Marc,Albrighton,2,2,63,1617,17,446.8,371.2,242.0,4,279,106.1,5,0,3,0.3,51,Marc Albrighton
Demarai,Gray,4,1,84,1978,29,310.2,320.2,599.0,3,244,122.5,6,0,2,0.9,54,Demarai Gray
Daniel,Amartey,0,0,15,639,9,46.7,139.0,21.0,0,103,20.8,1,0,2,0.2,43,Daniel Amartey
Wilfred,Ndidi,2,0,89,3295,47,342.4,726.0,346.0,4,571,141.6,9,0,8,0.8,49,Wilfred Ndidi
Vicente,Iborra,0,0,9,224,4,27.8,26.8,25.0,0,31,8.0,0,0,0,0.0,47,Vicente Iborra
Matty,James,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,Matty James
